ATL2,MAERSK GARONNE  MAGA 402W | 405E,MAERSK, 02/05/2407:00, 02/04/2422:05, 02/05/2423:59,, 01/25/2417:01, 01/25/2417:01, 02/02/2416:00
CBX,APL NEW JERSEY  CMJY XR43E | XR44W,CMA CGM, 02/05/2419:00, 02/05/2418:05, 02/06/2418:00,, 01/27/2417:01, 01/27/2417:01, 02/04/2416:00
OALP1,COSCO FORTUNE  COFE 072E | 072W,COSCO, 02/05/2419:00, 02/05/2415:15, 02/06/2423:00,, 01/25/2417:01, 01/25/2417:01, 02/02/2416:00
OALP2,OOCL SINGAPORE  OLSP 052E | 052W,OOCL-ORIENT OVERSEAS CONTAINER LINE LTD., 02/05/2419:00, 02/05/2415:05, 02/07/2406:00,, 01/22/2417:01, 01/22/2417:01, 01/30/2416:00
USEC6,MAERSK SKARSTIND  MKSK 403W | 403E,MAERSK, 02/05/2419:00, 02/05/2417:55, 02/07/2406:00,, 01/21/2417:01, 01/21/2417:01, 01/29/2416:00
ZCX,BOX ENDURANCE  ZBXN 44S | 44S,ZIM, 02/05/2419:00, 02/05/2414:00, 02/06/2403:00,, 01/25/2417:01, 01/25/2417:01, 02/02/2416:00
MECL,MAERSK KENSINGTON  MKKE 351W | 404E,MAERSK, 02/06/2407:00,, 02/06/2423:59,, 01/26/2417:01, 01/26/2417:01, 02/03/2416:00
USEC5,MSC GISELLE  MSGL 352E | UL405,MSC, 02/06/2407:00,, 02/07/2418:00,, 01/24/2417:01, 01/24/2417:01, 02/01/2416:00
EMA,BERNHARD SCHULTE  COBS 0255W | 0255E,COSCO, 02/06/2408:00,, 02/06/2418:00,, 01/24/2417:01, 01/24/2417:01, 02/01/2416:00
SMJS,AS SABRINA  MKWE 00115 | 00116,SEABOARD MARINE LTD, 02/07/2407:00,, 02/07/2418:00,, 01/28/2417:01, 01/28/2417:01, 02/06/2416:00
